,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
13087,1037,36,Flattering and comfortable,"I bought these in light grey and navy. they are both beautiful. high quality,very flattering, and so comfortable! i love them! they're a perfect long length. i have long legs and it can be challenging finding a good length in pants. the pockets are deep and functional, which is rare in women's pants. they are more than i like to spend, but i will get a lot of wear out of them. they look and feel fantastic. i highly recommend these!",5,1,0,General Petite,Bottoms,Jeans
13145,1078,63,Great first romper,"I've never owned a romper, and never had any desire to. but the classy design in black, soft, flowy fabric reeled me in, prompting me to push my boundaries a bit. i'm so glad i did. i don't think i have any other piece of clothing that makes me feel so classy or so fun, and certainly not at the same time. i wear it to work in an office environment with a cardigan, and the cardigan goes off after work as i run errands or play with the kids. i love it!! (and it even has pockets - i'm a sucker for",5,1,2,General,Dresses,Dresses
13746,1078,45,So gorgeous,I never write reviews although i do most of my shopping online but i had to write one for this tunic. i got it in the blue and sized down from a small to extra small- although i ordered both to see. the smaller size fit better around the shoulders. it is a bit retro funky and elegant at the same time. great price for such a quality piece.,5,1,0,General Petite,Dresses,Dresses
13825,1095,35,Retro sundress,"I love this dress! i rarely pay full price at retailer and couldn't take the risk of loosing this waiting for a sale. i tried on two different size 4 and a 2 and they all fit the same; a little large in the bust and the straps a tad long on the 4's. i typically can go between 2 and 4 at retailer, and with this dress the 2 was a better fit, i'm 34b and i had room in the bust on the 2 and the 4 was loose in the bust. i did t have any gaping issues others commented about. i'd have given it 5 sta",5,1,2,General Petite,Dresses,Dresses
13833,909,49,Gorgeous!,"I have nothing but positive comments to say about this sweater. i'm 5'6, 130 pounds and i got a medium because my shoulders are a bit wide and my sweater fits me just as it does the model. it's not bulky but it is very warm, and the colors are out of this world! a very high quality and unusual piece that will be in my wardrobe for many years.",5,1,0,General Petite,Tops,Fine gauge
13848,872,42,Werid cut!!!,"I was really excited to see what this looked like in person. when i unpacked this shirt i was shocked to see what how short it looked. the colors are very close to what you see online but the shirt is super boxy. i have a smaller torso and it barely came to below my waist. you can't tell by the picture but this shirt can fit at least 2 people in the width. when i tried it on, it didn't look as boxy but still a really weird cut! it was disappointing because it looks so cute online! i will be retu",3,0,5,General,Tops,Knits
14038,621,31,"Beautiful, but with a downside","This dress is gorgeous with fine detailing, and even though i'm curvier than the model, it still fits well and is flattering (please see attached poor quality photos). i'm 5' 8"", 32dd, i usually wear a 6, and the small is great. my only complaint is that the bottom of the skirt around the ankles is super tiny, and i feel like i have to take itty-bitty steps. it's a bit off-putting not to be free to stride normally. i recommend the dress, but you may consider (like i am) having a professional add",4,1,1,General Petite,Intimate,Lounge
14246,966,61,Great with everything,It's a great light jacket for early spring. ideal topper for jeans or denim skirt.,5,1,0,General,Jackets,Jackets
14719,1095,27,Great classic dress,"Bought this dress online in my usual 0p for a special event and liked the cut but found the area around my stomach and the bottom of the open area on the back to be a bit large. this in the back created the potential problem of flapping open so that you could see down the back of the dress. surprisingly they had 00p as well so i reordered that one and love it. 

keep in mind that the style is very subdued and elegant especially from the front with a little bit of fun added to the back with the",5,1,1,General,Dresses,Dresses
14857,984,36,"Cute, casual, and well-made","I purchased this in purple, and agree with previous reviewers who've mentioned that it looks more casual in person. it can be dressed up with the right accessories, though, and the fabric is really excellent quality, soft and durable. i really like the contrasting plaid back, it's a subtle but fashionable detail.",5,1,0,General,Jackets,Jackets
14867,984,56,So cool!!!!,I found this in your store and had to have it! i wore it on a date night and received more compliments than i can count!!!! the attention to detail makes this jacket special. i am 5 ft 5 inches 124lbs and a 4fits but a 6 is perfect for a sweater underneath. i actually went back a bought the other color. worth every penny.,5,1,1,General,Jackets,Jackets
15035,936,62,"Cute, cozy, classic","I was trying on the cream knit turtleneck midi dress in the store, and wanted the shearling vest shown with it to work for me. the dress is sleeveless, very good looking on, but the vest on me was too much, looked like i was being swallowed by a huge shearling taco. i wanted and needed something to stay warm in without the bulk of a full coat. the stylist brought me this jacket, and it was just the thing for me. its classic and modern, warm without bulk, and the two tone complimented the dress a",5,1,18,General,Tops,Sweaters
15054,872,42,,"This top looks beautiful online. when i got it, it looks nothing like the pic. it's wide, too much fabric, no shape and so unflattering. it's definitely going back",1,0,0,General Petite,Tops,Knits
15147,940,47,Love love love,"I initially bought this in the stone color and loved it so much the first time i wore it that i went back for the red. without a doubt my favorite purchases of the season. have gotten so many compliments on both and despite the fact that the style isn't form fitting, it is still somehow very flattering. would highly recommend this sweater to anyone!",5,1,0,General,Tops,Sweaters
15337,1078,28,Cute and stylish,"This is so cute...i love the stripe and fringe combo.  i took my typical size, 4. kind of short for a 5'7 frame, but love otherwise.",4,1,0,General,Dresses,Dresses
15574,1056,33,,"I bought these last year and loved them, however they came in tall sizes. this year they do not and the inseam is just way too short, even at 33"". im 5'7"" and  they barely graze the floor with no break in the pant leg. i prefer to wear them with boots and they will not be long enough even with a short heal",2,0,0,General,Bottoms,Pants
15924,867,42,Great top,This is a beautiful top. it is something great to have in your wardrobe for the holiday season or a nice date night option. i highly recommend it. it runs true to size. the price is actually reasonable as far as dressy retailer tops go as well!,5,1,19,General,Tops,Knits
16010,1056,38,Chinolicious,"I find these to be nearly perfect. the quality is idea--soft, yet sturdy. the stitching is unique based on the color--which i love. and while they're super machine-washable, i never need to iron them for a business-casual look. i tend to like things on the baggy side, so as a 5'7"" gal with about 120 pounds on me, i wear a 28, but i'm sure a fitted look would be more appealing to most. that said, i often get larger because they're a tiny bit shorter than i like, so i wear them kinda low. and if i",5,1,1,General,Bottoms,Pants
16171,936,59,I'd hoped it would be better.,"The black and white photo of this sweater makes it look absolutely beautiful. the color photography looked to be a beautiful rich burnt red color. it simply did not match. it was more of an almost faded version of the rich color. the fit was ""ok"". just didn't love it.",2,0,2,General Petite,Tops,Sweaters
16358,1081,64,Better for taller women,"I am a petite size 10 and 5&#39;1&quot;     i love the fabric and style of the dress, but found it to be too much dress for me.  the skirt is very full and with the top i feel it would look better on a thin, taller person.",3,0,0,General Petite,Dresses,Dresses
16403,829,63,Basic black bonus,"Just a little scallop makes this top special. 
if your on the edge of a 10 i suggest sizing up. 
fabric crisp-well made and worth full price",5,1,6,General Petite,Tops,Blouses
16559,1065,44,Effortless style,"Lovely jumpsuit. can be dressed up or down. i agree with the other reviewers that in my normal medium, the torso length is a bit short, making the garment pull. i sized up to a large, and with room in the hips and the correct torso length, the jumpsuit works. the bust is cut for a smaller gal. for reference, i am 5'7"", 36a, 155lb.",5,1,0,General,Bottoms,Pants
16635,895,63,Love it!,"Beautiful color, great style/design. only drawback is it's not as soft as other cashmere i've purchased...got the xs and the fit is perfect!",4,1,2,General,Tops,Fine gauge
16696,1037,29,Love!,I tried these on in my local store and immediately loved them! they are so flattering on my hourglass shape. the flare leg balances out the hips. great quality and very comfortable. i know i will get so much wear out of these. i bought a size up from my usual size and they fit perfectly.,5,1,0,General Petite,Bottoms,Jeans
17338,862,60,Great tunic!,This tunic is flowy without having too much material to make you look bigger.  i love the way it fits.  i'm 5'4 125 lbs and got a small.,5,1,0,General Petite,Tops,Knits
17378,863,63,Perfect shirt,"This shirt is so cute alone with jeans or dressed up with nice jewelry, a scarf or cardi. its just the right weight, true to size, drapes nicely and its very flattering. i""m sorry i didn't order more when i had the chance. its already sold out in the colors and sizes i wanted. excellent quality as usual -- thanks again retailer!",5,1,0,General,Tops,Knits
17455,833,46,"Looks good in person, shrunk a lot","I bought this in size xl and it initially fit me similarly to the model. but, once i washed it (in cold in my machine, reshaped and air-dried), it was so much smaller/shorter. i loved the embroidery on the top. the mix of pattern colors is great too. i like when blues and blacks are mixed together. i don't know how i could have prevented the shrinking. i now throw on a shrug or jacket over to hide the shorter length. still stylish and fun.",4,1,0,General Petite,Tops,Blouses
17502,1081,56,,"The fabric has a beautiful drape; the skirt is a nice length, and it blows, moves, and swings in a most flattering way. the gray is a an elegant color, and one could definitely wear the dress at both casual and more formal events. the top, however, sags, and overwhelms the more fitted lining. too bad!",3,1,9,General Petite,Dresses,Dresses
17571,1110,34,Had great potential,"I tried this dress on in a 6 and a 4 (a 4 is a little small for me but it looked so loose and flowy i thought sizing down would be a good idea). the 4 fit in the outer layer, however as the previous poster mentioned, the lining is super tight. i couldn't even pull the 4 lining down over my hips. the 6 was far too big in the shoulders and arms and still too tight in the lining. not sure what when wrong here but it's a shame because it's a really cute dress.",2,0,8,General,Dresses,Dresses
17595,1110,33,In love,"I love this dress. so simple yet beautiful. very excited to wear this spring and summer, perfect for easter.",5,1,7,General,Dresses,Dresses
17661,862,39,Flattering top for all types,"Lovely top that seems to flatter all body types. fit is great, fabric is soft, style is lovely...great to dress up or throw on with jeans.",5,1,7,General Petite,Tops,Knits
17674,862,25,Cute top,"This top is cute and comfortable. i did order a size larger than i would normally wear. i usually wear a size small but i had to buy a medium (5'7"", 145lbs, 34b).",5,1,0,General Petite,Tops,Knits
17856,278,76,Feminine & perfect for spring,"My favorite leggings. they are feminine and perfect with a long tee. the colors are vibrant, the material is high quality, plus they're comfy! i ordered an xs. i'm 5'4"" and 115 lbs.",5,1,0,Initmates,Intimate,Lounge
17870,862,48,"Lovely, buttery-soft and oh-so flattering","I purchased the blue (a bluish gray), size medium.

the entire top, including the fluttery sleeves, drapes wonderfully and is sooo soft. i wish i could wear this top/this silhouette every day! it's versatile enough to do so, if only the other colors were flattering to my coloring. 

sleeves: i'm thrilled to find a shirt that fits/flatters my proportional curves and sports sleeves that don't grip my biceps. often, i must choose to fit my arms or fit my torso, unless i want the additional step",5,1,1,General,Tops,Knits
18015,1059,44,"Fun prints, fun pants",Great pants! great fall colors. great for day or night. super fun and funky. love them!,5,1,0,General Petite,Bottoms,Pants
18089,834,29,"Excellent, comfortable, dressy or casual","I'm in love with this top! i usually wear a s/m or 6, and the size 6 fits perfectly. the cut is very flattering and i love that the sleeves can be worn rolled up and buttoned or down (and when they're down they hit right at the wrist, not too long or short). it's lightweight and comfy, but looks really pulled together. i can see myself wearing this both with ripped boyfriend jeans and sneakers and with dress pants and a blazer. a great transitional piece.

i only wish this came in solid white (o",5,1,28,General,Tops,Blouses
18128,1089,34,Gorgeous lace!,"I was so pleased to receive this dress after purchasing it online -- the color is vibrant, the lace is beautiful, and it is fully lined! fit is true to size, and its a fit and flare dress so flattering for most body types. i could dress it up or down for lunches or weddings so overall, i think its a great dress for a great price!",5,1,3,General,Dresses,Dresses
18250,1094,48,,Beautiful dress. i just wore this dress for my wedding. it was a beautiful wedding dress and i got many compliments on the uniqueness and the beading detail. there was one really big problem. the beads and the flowers kept falling off. i sat down and stood up leaving a pile of little flowers and beads. i could be standing still and they would periodically drop off. it was kind of embarrassing and everyone remarked that i was my own flower girl. i am still finding pieces of the dress everywhere.,5,1,5,General,Dresses,Dresses
18390,850,37,Lovely drape in your regular size,"I originally purchased this in my usual retailer size 6 (vanity size lol), and was nervous that the neck would be tight, based on the other reviews. however, once i tried it on i realized that in my usual size the body was a little too wide and didn't create any shape. i ended up exchanging for and keeping a size 4 and it fits much better in the body and i did not have a problem with any tightness in the neck in either size. for reference i'm 5'7"", 36dd 135lbs.

i would say this items runs true",4,1,15,General,Tops,Blouses
18394,876,43,"Great concept, but snags easily!","This top is adorable in style and fit. which is why it breaks my heart that i can't recommend it. the embroidery snags so easily, when i wore it, i ended up with several tears in the threads, leaving the pattern a bit of a mess. it snagged on my rings, my watch and my purse. i returned it because of this. it's really too bad, and i wish the design were printed on instead of sewn, simply because it would last a lot longer.",3,0,1,General,Tops,Knits
18585,1049,33,This is happiness (for my postpartum body!),"Ok, so this is true to size-- i recently had a baby (i gained a lot of weight), am in the process of losing it and took the risk of buying a jumpsuit online. i am 5'3 with a long torso, short legs, and a big fat butt so buying pants (especially rompers) are almost impossible. lengthwise, this fits me like pants. the draping is so flattering and the color combination is splashy but not loud. i had to review this as soon as i realized it fit. i don't think i've ever been so happy with an retailer pu",5,1,11,General,Bottoms,Pants
18591,526,28,,Loved this romper! wish it was offered in petite... arm sleeves are too long once it's off shoulders.,4,1,0,General,Bottoms,Shorts
18918,674,34,,"I looooove these. the styling makes me wonder if i could even wear them to work on casual fridays with the right top they are so great. i am a little concerned about how they will hold up over time since some of the stitching looks a little shoddy, but they are still worth it at this price. i am going to order another pair just in case they don't hold up, i love them that much.",5,1,1,General Petite,Intimate,Lounge
19121,1121,31,"Beautiful, dramatic trench, but impractical upkeep","This trench is beautiful, with a lovely, swinging skirt that adds a romantic sense of drama and movement - you'll feel as though you are starring in your very own film noir movie. i wish i could have kept it, but i couldn't justify paying full price on a coat that had to be hand-washed (the label specifies no dry cleaning!).there is a lot of fabric on this trench, and i imagine that all those little pleats will have to be ironed too. i don't have the time for that, and for this much money, i wou",3,0,5,General,Jackets,Outerwear
19155,1015,52,,,5,1,0,General,Bottoms,Skirts
19309,1092,51,Had high hopes,"This dress was a disappointment. not black, but brown. and it was very oddly made, with a weird, seam right across the belly. on its way back...",1,0,0,General Petite,Dresses,Dresses
19349,1008,40,Beautiful & classic,"Love this skirt, i ordered a small, i'm 5'1, about 120, still losing some baby weight, so the elastic band is really nice because it will still fit once i get down to 110. really love the cut, it falls just above my knees in the front, longer in back. i wore it to church with a cream top with victorian lace around neck, tucked in, and added a belt for a nicer finish, although the band looks good without the belt too. i got tons of compliments from everyone. definitely a score.
(p.s. shoes are fr",5,1,5,General Petite,Bottoms,Skirts
19526,875,30,Nice casual top,"Very pleased with the fabric and design of this. it is thick, but not heavy, and the cutouts in front fall so that you don't really have to wear anything underneath (there is one cut out pretty low in the middle that i didn't initially notice, but wasn't really a problem). i'm 5""4/b cup and i bought the small but would have been better with a medium as the small kinda pulled through the chest. i couldn't wear anything over it without it pulling the whole top up. it's also a bit shorter than i th",5,1,0,General,Tops,Knits
19543,1078,35,Beautiful pattern,"This dress is true to size and great for the winter months. it's very comfortable and not scratchy at all. i love the colors and patterns on this dress. the buttons are a nice detail, but after wearing this dress twice, one of the buttons has already fallen off. they don't seem to be sewn securely. i am tall and this dress falls as shown on the model.",4,1,0,General Petite,Dresses,Dresses
19626,879,48,Great tee!,This is adorable!  lots of compliments on color.  great fit!,5,1,0,General,Tops,Knits
19726,877,52,Soft unique graphic tee,Soft! sleeve is cuffed! different. called moonscape. cool vibe. tiny threads on front of moon.,5,1,7,General,Tops,Knits
19782,825,31,,Loved this top when i received it. unfortunately it runs very big. i ordered a small because it had come up but in reality i need an x small and maybe even that would be too big. im 130 pounds and 34dd. its a nice shirt just a little expensive.,4,1,5,General,Tops,Blouses
19954,836,33,So cutest,Ok. love this top. i'm 5'4 106 34b and the 0 reg fits perfect on the top half. i am going to have the waist taken in because i love the top. it is very short. i usually need a petite but the regular is just barely long enough. i thought it was red and white but it is red and beige. great with jeans or navy for work.,4,1,1,General Petite,Tops,Blouses
19960,1141,53,Beautiful dress,"This dress is so beautiful! i ordered it online and when i received it i was so pleased with how it was even better in person. the fit, the embroidery, the lovely fall colors - makes this a perfect dress all the way around!",5,1,1,General,Trend,Trend
20267,985,22,Cute and comfy,"This jacket is so comfortable and high quality fabric. i love the color and style and easiness of just throwing it on. the only thing that i wasn't completely satisfied with is that it is a little bit bulky around the hips with the pockets. however, i am 5'0"" so that may be more of a length issue for me. overall, this jacket is really nice.",4,1,0,General Petite,Jackets,Jackets
20489,834,23,Darling,"I ordered the ""london, paris, milan"" print red top in a size 4. i go back and forth with ordering 2's and 4's but i figured that with long sleeves, i'd rather have a little room than it be fitted. my boyfriend asked if i bought it for valentine's day- the red print and the cities struck him as romantic. anyway, lovely top. lightweight material will be nice for layering during winter, and wearing on it's own in spring and next fall.",5,1,1,General,Tops,Blouses
20560,867,24,Great piece for layering,"The melon color is soft and flattering. it is a little on the long side in the back, but i paired it with a lightweight, flowy sweater, and received compliments.",4,1,0,General Petite,Tops,Knits
20599,228,53,Great for around the house!,"I understand what the previous reviewer meant when she says these are great for around the house. the yarn is thick but the weave is open so they are nicely springy but not very warm.

they look perfect with my birkenstocks so i'm getting then in all colors.",4,1,2,Initmates,Intimate,Legwear
20806,862,27,The perfect top for all seasons,"Love this top so much that i bought it in both colors. the fabric is wonderful and the pleated front is a nice feature. i also like the fabric covered buttons. you can button this top all the way or leave the top few buttons undone. either way, it looks cute. i especially like that it looks great under a blazer or cardigan and will look good uncovered when the weather heats up. great quality and features for the price.",5,1,5,General Petite,Tops,Knits
20830,1078,37,Great length,"This dress is nicely made , fits well and is the right length.",4,1,2,General,Dresses,Dresses
20937,860,27,"Love this top, with a slight modification","I saw this top in my local store and almost didn't try it on solely because i hate split-sleeve/cold-shoulder tops. but, the peplum style and pattern were so cute that i took it into the dressing room anyway. after trying on probably 6-8 items, i wound up buying this top and one other. i really like the fit, as i am high-waisted, and it defines my waist really well . the wide neck is also super flattering. and i love the pattern. i went ahead and purchased, despite the fact that i wasn't thrille",4,1,6,General Petite,Tops,Knits
20952,819,32,,"This blouse is just so beautiful! but i do love white blouses, so that may influence my enthusiasm. however, once i buttoned it up, it was just dreamy. i have a long torso and am tall for a typical xs, so it's often hard to find something that's the right length. this is perfect! it may overwhelm some ladies who are on the petite side of height, but it's a rare find for me. paired with a pair of cropped pants because i'd come in a dress, it looks delightfully vintage in the best of ways. i'm sti",5,1,4,General Petite,Tops,Blouses
20971,895,38,,"This cardigan is so much more beautiful in person. i thought it would be very lightweight, but it has a nice weight to it. this will go with absolutely everything and looks lovely on!",5,1,9,General Petite,Tops,Fine gauge
21003,895,23,Gorgeous,"I recently purchased this cardigan and got so many compliments the first day i wore it.  the detail is so exquisite, it will be worth every penny.",5,1,0,General Petite,Tops,Fine gauge
21064,1083,52,Stunning: a timeless piece of artistry!,"Wow, this dress is so incredibly designed and made! the style is a subtle showstopper - classic and beautiful like they don't make anymore.
the inside of the dress is so well constructed, it has its own beauty!

i read that it ran a little large, so i tried the 0 and the 00, since i usually wear a 0. well the 00 looked like a lingerie commercial with the dress unable to zip above the waist!! the 0 fit and zipped, but i could not sit down comfortably. yikes!
the 2 was a winner. i'm 5'4 1/2"", 110",5,1,0,General Petite,Dresses,Dresses
21234,1126,26,Awesome jacket!,"This jacket is the best! definitely my staple jacket for the spring. it is so comfortable and soft. i usually wear a small in retailer clothing, but i opted for the medium in this so there's a little room for layering. even with the extra room, it is so flattering. i absolutely love this jacket!",5,1,3,General,Jackets,Outerwear
21295,903,61,Springlike and pretty but runs large,"Looks nearly exactly like the picture. will be very comfortable to wear. i ordered a petite large and could really have worn a medium. it's big all over. i figure i'll do a little tailoring on this come spring and adjust the fit. on the whole, happy.",4,1,0,General,Tops,Fine gauge
21477,861,49,Nice summer weight t,"Pros: versatile summer weight t. perfect with jeans. flattering cut. nice color palette. made in the usa. reasons for not giving 5's for overall rating and quality... shirt is a bit short overall (i'm 5'4). fabric is thin and a mixed blend of poly, cotton, and rayon. will have to be careful with washing. better if you can purchase on sale. regular price was steep for a t-shirt.",4,1,0,General,Tops,Knits
21618,1077,38,Flattering basic,"I'm trying to buy more basic, versatile clothes and this dress in gray is great for that. definitely runs large-- i usually wear an 8 and it fits in a 6p. i'm, 5'5"" and the petite falls where it does on the model. the regular was unflatteringly long and sack-like. quality seems ok for the sale price.",5,1,0,General,Dresses,Dresses
21668,1008,30,Beautiful skirt!,"I absolutely love the way this skirt looks and fits. i have a smaller waist and larger hips so it is hard to find a pencil skirt that fits, but this skirt fits great! the material has some stretch to it but is still thick and looks really nice. the colors are beautiful, i bought it in the ""red"" which is really just multi-colored. i want it in the green now, too!",5,1,0,General Petite,Bottoms,Skirts
21960,1078,78,Like,I love the print and quality and safari look to me. it does run tight across the shoulders i would size up.,4,1,1,General,Dresses,Dresses
22174,1088,35,Awesome dress,"This dress is absolutely gorgeous. every time i wear it, people just don't stop admiring it. great material and great fit.",5,1,0,General,Dresses,Dresses
22291,1077,21,Beautiful dress,"I ordered this dress for my engagement photos and i am so excited to wear it! it's a gorgeous dress, a bit fancy. it drapes so nicely on the body. as previous reviews have stated, it's a little snug in the chest and shoulders so you might want to size up. i typically wear a size 4 in dresses and fairly small chested, and i decided to stick with the small in this dress. i probably would have been a little more comfortable in a medium as it's a little tight in the shoulder area still. overall thou",4,1,0,General Petite,Dresses,Dresses
22298,867,50,Cute and flattering top!,"I liked the idea of the scarf tie, so i tried on this top in the store. it was so cute on, that i ignored that it was a bit overpriced for the quality. the material is more of a t-shirt with elastic at the bottom, so it poofs a bit rather than laying flat. i'm not sure how durable the fabric is. it's still really flattering and the scarf color adds a bit of a pop to the navy color. i think ti would look great with jeans but, with the right pants, i could dress it up a bit and wear it to work. it",4,1,1,General Petite,Tops,Knits
22338,895,44,Good for one use,"After washing this top pilled terribly. it is beautiful, but only for one use.",1,0,0,General,Tops,Fine gauge
22398,1028,56,Disappointed,"I had high hopes for these as coh is my favorite brand of denim, and these crops were made specifically for petites. also, i was happy to see they were described as a straight jean, not a skinny. the fit and sizing seems to be a little off. i ordered my regular size in this brand, 27p, but they were too big. sized down to a 26p. they were still too large in the waist (seemed very stretchy) but fit well in the legs. i like the fact that these crops were made for petites so the length was perfect,",3,1,6,General,Bottoms,Jeans
22433,291,28,Beautiful print and well made,I love this design so much and it is very well made. i also like the adjustable shoulder straps and that the cups are not padded cups. i think that makes it look less like a bra and more like a bathing suit. only con is that it seems to run small.,5,1,1,Initmates,Intimate,Swim
22549,850,52,Sweet top,Lightweight silk with sweet details (ruffles) fits comfortably and nice for workplace with suit or more casual.,4,1,0,General,Tops,Blouses
22876,1076,44,Flattering and darling,"I ordered this dress in navy for fall, and it is now easily the most darling and figure flattering dress in my wardrobe. i am 125 lbs and size 27 in jeans. i usually wear a size small but ordered a medium based on reviews that said this dress runs small, and i like that the medium is a little longer and slightly blousy, making it more modest, but the small would have worked just fine for a slightly more figure-accentuating look. the fabric hangs beautifully and has a silky feel. the navy flower",5,1,2,General Petite,Dresses,Dresses
22981,999,41,Sian mini skirt,"So there weren't any product reviews to go by when i ordered the last small. i had no way of knowing if it ran big, small, or tts. i'm usually a med, but to my surprise the small worked due to the fluid pleating. it sits right on my natural waistline similar to the model and not too short in length (i'm 5'8""). i also like the med weight of the fabric it moves freely when you walk, but not too light. it is similar to a double weight georgette or crepe.",5,1,0,General,Bottoms,Skirts
22997,136,47,"Charcoal, pale gray, a bit of silver!","These socks are soft and comfortable, and they are very short so they'll be good with booties. i couldn't tell from the pictures but the pale gray dots are surrounded by a border of subtle silver thread. they're adorable!",5,1,1,,,
23087,942,49,"Great sweater, not crazy about the collar","I didn't really notice the collar when i ordered it on line and i'm not really liking it. it's the rough, unstitched thing they like to do sometimes and it just makes it look slightly more casual and well, rough around the edges. it's a nicely cut, great fitting sweater though so i'll be looking for some scarves!",3,0,0,General,Tops,Sweaters
23462,999,24,Its okay,The pattern of this skirt is adorable and looks better in person but the fabric isnt the best. it feels like an elastic fabric and is way to volumous. overall not my favorite.,3,1,0,General,Bottoms,Skirts
